Male,Female,Hispanic or Latino,White,Black or African American,Native Hawaiian or Pacific Islander,Asian,Native American or Alaska Native,Two or More Races,Model Output
0,1,1,0,0,0,0,0,0,27.37
0,1,0,1,0,0,0,0,0,69.417
0,1,0,0,0,0,1,0,0,59.625
1,0,0,1,0,0,0,0,0,40.158
1,0,0,1,0,0,0,0,0,48.83
1,0,0,0,0,1,0,0,0,69.063
1,0,1,0,0,0,0,0,0,80.172
1,0,0,0,1,0,0,0,0,32.891
0,1,0,1,0,0,0,0,0,17.805
1,0,1,0,0,0,0,0,0,93.119
0,1,1,0,0,0,0,0,0,54.995
1,0,0,1,0,0,0,0,0,88.193
0,1,1,0,0,0,0,0,0,8.182
0,1,0,0,1,0,0,0,0,4.012
0,1,1,0,0,0,0,0,0,33.467
1,0,0,1,0,0,0,0,0,54.511
0,1,0,1,0,0,0,0,0,49.798
1,0,0,1,0,0,0,0,0,47.633
1,0,0,0,0,0,0,0,1,74.581
0,1,0,1,0,0,0,0,0,17.825
1,0,0,0,1,0,0,0,0,58.7
1,0,1,0,0,0,0,0,0,88.223
1,0,0,0,1,0,0,0,0,33.783
1,0,1,0,0,0,0,0,0,4.329
0,1,0,1,0,0,0,0,0,57.258
0,1,0,0,0,0,0,0,1,96.906
0,1,1,0,0,0,0,0,0,80.584
1,0,0,1,0,0,0,0,0,53.814
0,1,0,0,1,0,0,0,0,69.394
0,1,0,0,1,0,0,0,0,53.869
0,1,1,0,0,0,0,0,0,58.539
1,0,0,0,1,0,0,0,0,53.056
0,1,1,0,0,0,0,0,0,28.4
0,1,0,1,0,0,0,0,0,89.03
0,1,0,0,1,0,0,0,0,39.546
0,1,1,0,0,0,0,0,0,52.085
1,0,0,1,0,0,0,0,0,21.927
0,1,0,1,0,0,0,0,0,59.263
0,1,0,1,0,0,0,0,0,48.551
0,1,0,1,0,0,0,0,0,30.536
0,1,1,0,0,0,0,0,0,2.765
1,0,0,0,1,0,0,0,0,48.821
1,0,1,0,0,0,0,0,0,20.857
0,1,1,0,0,0,0,0,0,39.905
1,0,1,0,0,0,0,0,0,88.069
1,0,0,0,1,0,0,0,0,31.217
1,0,0,0,0,0,0,1,0,54.26
1,0,0,1,0,0,0,0,0,57.74
1,0,0,0,0,0,1,0,0,57.076
1,0,0,0,0,0,0,1,0,64.928
0,1,0,0,0,0,1,0,0,22.78
1,0,0,1,0,0,0,0,0,32.105
0,1,0,1,0,0,0,0,0,45.53
1,0,0,0,0,0,0,0,1,31.983
1,0,0,0,1,0,0,0,0,65.617
0,1,0,0,1,0,0,0,0,19.654
0,1,0,1,0,0,0,0,0,44.897
1,0,0,1,0,0,0,0,0,34.436
0,1,0,0,1,0,0,0,0,11.378
0,1,1,0,0,0,0,0,0,55.019
1,0,1,0,0,0,0,0,0,87.819
0,1,0,0,1,0,0,0,0,68.307
0,1,1,0,0,0,0,0,0,46.951
0,1,0,0,0,0,0,0,1,39.326
0,1,0,1,0,0,0,0,0,56.336
1,0,0,1,0,0,0,0,0,62.191
0,1,1,0,0,0,0,0,0,56.729
0,1,1,0,0,0,0,0,0,63.678
0,1,0,0,0,0,0,0,1,55.477
0,1,0,1,0,0,0,0,0,48.008
0,1,1,0,0,0,0,0,0,21.428
0,1,1,0,0,0,0,0,0,63.102
0,1,1,0,0,0,0,0,0,59.942
0,1,0,1,0,0,0,0,0,90.591
0,1,1,0,0,0,0,0,0,57.803
0,1,1,0,0,0,0,0,0,60.722
0,1,0,1,0,0,0,0,0,18.995
1,0,0,1,0,0,0,0,0,35.985
1,0,0,1,0,0,0,0,0,47.25
0,1,0,1,0,0,0,0,0,38.14
1,0,1,0,0,0,0,0,0,68.492
0,1,0,0,0,1,0,0,0,52.89
0,1,0,0,1,0,0,0,0,60.906
0,1,1,0,0,0,0,0,0,72.869
0,1,0,0,0,0,0,0,1,75.777
0,1,0,1,0,0,0,0,0,40.174
0,1,0,0,1,0,0,0,0,22.43
1,0,0,0,1,0,0,0,0,68.784
1,0,0,1,0,0,0,0,0,9.822
0,1,0,1,0,0,0,0,0,13.579
0,1,1,0,0,0,0,0,0,47.326
0,1,0,1,0,0,0,0,0,57.182
1,0,0,1,0,0,0,0,0,43.027
1,0,1,0,0,0,0,0,0,83.861
1,0,0,0,1,0,0,0,0,59.084
0,1,0,0,1,0,0,0,0,84.432
1,0,1,0,0,0,0,0,0,58.174
0,1,0,0,1,0,0,0,0,64.292
0,1,0,0,0,0,0,0,1,61.225
0,1,0,1,0,0,0,0,0,63.85
0,1,0,0,0,0,0,0,1,76.091
0,1,0,0,0,0,0,0,1,35.45
0,1,0,0,1,0,0,0,0,65.144
0,1,1,0,0,0,0,0,0,43.219
0,1,1,0,0,0,0,0,0,51.845
1,0,0,0,1,0,0,0,0,87.274
1,0,1,0,0,0,0,0,0,82.343
0,1,1,0,0,0,0,0,0,44.712
1,0,1,0,0,0,0,0,0,75.076
1,0,1,0,0,0,0,0,0,25.535
1,0,0,0,1,0,0,0,0,64.647
1,0,1,0,0,0,0,0,0,67.731
0,1,0,1,0,0,0,0,0,66.512
0,1,1,0,0,0,0,0,0,54.4
1,0,1,0,0,0,0,0,0,13.495
1,0,0,1,0,0,0,0,0,64.135
1,0,0,1,0,0,0,0,0,32.558
1,0,0,1,0,0,0,0,0,23.877
1,0,0,1,0,0,0,0,0,16.112
1,0,0,1,0,0,0,0,0,4.536
0,1,0,1,0,0,0,0,0,67.456
1,0,1,0,0,0,0,0,0,46.14
1,0,0,0,0,0,0,0,1,53.309
1,0,0,1,0,0,0,0,0,43.979
1,0,1,0,0,0,0,0,0,75.85
0,1,0,0,1,0,0,0,0,68.84
1,0,0,0,1,0,0,0,0,59.958
1,0,0,0,1,0,0,0,0,48.619
0,1,0,1,0,0,0,0,0,47.829
1,0,0,1,0,0,0,0,0,62.047
0,1,1,0,0,0,0,0,0,61.131
0,1,0,1,0,0,0,0,0,58.006
1,0,0,1,0,0,0,0,0,53.162
0,1,0,1,0,0,0,0,0,60.746
0,1,0,1,0,0,0,0,0,98.588
1,0,0,0,1,0,0,0,0,32.047
1,0,1,0,0,0,0,0,0,69.197
1,0,1,0,0,0,0,0,0,60.505
1,0,1,0,0,0,0,0,0,42.003
1,0,0,0,1,0,0,0,0,67.289
0,1,0,1,0,0,0,0,0,65.669
0,1,1,0,0,0,0,0,0,89.988
0,1,0,1,0,0,0,0,0,57.443
0,1,0,0,0,0,1,0,0,37.535
1,0,0,0,0,0,0,0,1,79.426
1,0,0,0,0,0,0,0,1,29.716
1,0,1,0,0,0,0,0,0,58.68
1,0,0,1,0,0,0,0,0,17.987
1,0,0,0,1,0,0,0,0,68.999
0,1,0,0,0,0,0,0,1,34.208
1,0,1,0,0,0,0,0,0,51.329
0,1,1,0,0,0,0,0,0,62.899
0,1,1,0,0,0,0,0,0,60.314
0,1,0,1,0,0,0,0,0,32.187
1,0,0,1,0,0,0,0,0,22.672
1,0,0,1,0,0,0,0,0,84.462
0,1,1,0,0,0,0,0,0,24.098
1,0,0,1,0,0,0,0,0,45.453
1,0,1,0,0,0,0,0,0,77.955
1,0,0,1,0,0,0,0,0,76.935
0,1,0,0,0,0,0,1,0,20.851
1,0,0,0,0,0,1,0,0,81.769
1,0,1,0,0,0,0,0,0,60.554
1,0,1,0,0,0,0,0,0,69.26
1,0,0,0,0,0,0,0,1,35.805
1,0,0,0,1,0,0,0,0,69.315
0,1,1,0,0,0,0,0,0,61.696
0,1,0,1,0,0,0,0,0,55.755
0,1,0,0,0,0,0,0,1,33.149
0,1,0,0,1,0,0,0,0,61.964
1,0,0,0,1,0,0,0,0,45.298
0,1,0,0,1,0,0,0,0,63.179
0,1,0,0,0,0,0,0,1,18.052
1,0,0,1,0,0,0,0,0,40.64
0,1,1,0,0,0,0,0,0,51.56
1,0,0,1,0,0,0,0,0,49.072
0,1,0,1,0,0,0,0,0,49.773
1,0,0,1,0,0,0,0,0,54.174
0,1,1,0,0,0,0,0,0,21.159
0,1,0,1,0,0,0,0,0,12.317
1,0,1,0,0,0,0,0,0,80.569
1,0,0,1,0,0,0,0,0,34.874
1,0,1,0,0,0,0,0,0,66.55
1,0,0,0,1,0,0,0,0,54.744
1,0,1,0,0,0,0,0,0,48.916
1,0,1,0,0,0,0,0,0,66.656
1,0,0,1,0,0,0,0,0,63.325
1,0,0,1,0,0,0,0,0,49.494
1,0,1,0,0,0,0,0,0,43.06
1,0,0,0,1,0,0,0,0,26.65
1,0,1,0,0,0,0,0,0,51.491
0,1,1,0,0,0,0,0,0,43.51
1,0,0,0,1,0,0,0,0,55.497
0,1,0,0,1,0,0,0,0,43.328
1,0,1,0,0,0,0,0,0,61.086
0,1,0,0,1,0,0,0,0,45.661
1,0,0,1,0,0,0,0,0,37.606
0,1,1,0,0,0,0,0,0,29.978
0,1,0,0,1,0,0,0,0,27.967
0,1,0,1,0,0,0,0,0,23.078
0,1,0,0,1,0,0,0,0,36.958
1,0,0,0,1,0,0,0,0,44.726
1,0,0,0,0,0,0,0,1,41.16
1,0,1,0,0,0,0,0,0,92.23
1,0,1,0,0,0,0,0,0,66.361
1,0,0,1,0,0,0,0,0,27.815
0,1,0,0,1,0,0,0,0,26.195
1,0,1,0,0,0,0,0,0,65.506
1,0,1,0,0,0,0,0,0,69.435
1,0,0,1,0,0,0,0,0,30.474
0,1,0,0,0,0,0,0,1,51.6
1,0,1,0,0,0,0,0,0,59.631
0,1,0,1,0,0,0,0,0,65.666
1,0,0,0,1,0,0,0,0,47.256
0,1,0,0,0,0,0,0,1,57.267
1,0,1,0,0,0,0,0,0,39.037
1,0,0,1,0,0,0,0,0,45.066
1,0,0,1,0,0,0,0,0,72.142
1,0,0,1,0,0,0,0,0,37.163
1,0,0,0,1,0,0,0,0,25.421
1,0,1,0,0,0,0,0,0,30.694
1,0,0,1,0,0,0,0,0,77.715
1,0,0,1,0,0,0,0,0,32.688
1,0,0,0,1,0,0,0,0,27.847
0,1,0,0,1,0,0,0,0,52.38
1,0,1,0,0,0,0,0,0,59.761
0,1,0,1,0,0,0,0,0,36.277
1,0,1,0,0,0,0,0,0,40.574
1,0,0,0,1,0,0,0,0,59.579
1,0,0,1,0,0,0,0,0,34.538
0,1,0,1,0,0,0,0,0,26.019
1,0,0,1,0,0,0,0,0,28.84
1,0,0,1,0,0,0,0,0,24.384
0,1,0,0,1,0,0,0,0,30.549
0,1,0,1,0,0,0,0,0,51.218
0,1,1,0,0,0,0,0,0,32.864
0,1,0,0,1,0,0,0,0,49.082
0,1,0,0,1,0,0,0,0,29.688
1,0,1,0,0,0,0,0,0,91.569
1,0,0,1,0,0,0,0,0,45.29
0,1,0,0,1,0,0,0,0,60.465
0,1,0,0,1,0,0,0,0,48.672
1,0,0,0,1,0,0,0,0,81.391
0,1,0,1,0,0,0,0,0,20.664
1,0,0,1,0,0,0,0,0,77.921
0,1,0,1,0,0,0,0,0,37.016
0,1,0,1,0,0,0,0,0,69.077
0,1,0,0,0,0,0,0,1,38.96
0,1,0,0,1,0,0,0,0,33.831
1,0,0,1,0,0,0,0,0,46.988
1,0,0,0,1,0,0,0,0,69.665
0,1,0,0,0,0,1,0,0,17.917
1,0,0,1,0,0,0,0,0,46.937
0,1,0,1,0,0,0,0,0,58.271
0,1,1,0,0,0,0,0,0,46.822
1,0,1,0,0,0,0,0,0,69.663
1,0,0,1,0,0,0,0,0,60.487
1,0,0,1,0,0,0,0,0,36.261
1,0,0,1,0,0,0,0,0,77.208
1,0,1,0,0,0,0,0,0,27.143
1,0,0,0,0,0,0,1,0,33.261
1,0,0,1,0,0,0,0,0,45.321
1,0,0,1,0,0,0,0,0,40.293
0,1,1,0,0,0,0,0,0,39.067
0,1,0,0,0,0,1,0,0,18.318
0,1,0,0,1,0,0,0,0,47.417
1,0,0,1,0,0,0,0,0,35.844
1,0,0,1,0,0,0,0,0,64.498
1,0,0,1,0,0,0,0,0,25.235
0,1,0,0,1,0,0,0,0,49.232
0,1,0,1,0,0,0,0,0,37.233
0,1,1,0,0,0,0,0,0,62.371
0,1,0,0,1,0,0,0,0,72.803
1,0,1,0,0,0,0,0,0,53.077
1,0,0,0,0,0,1,0,0,60.849
1,0,0,1,0,0,0,0,0,40.292
1,0,0,1,0,0,0,0,0,62.381
1,0,0,1,0,0,0,0,0,57.228
0,1,1,0,0,0,0,0,0,83.506
0,1,0,0,1,0,0,0,0,55.098
1,0,0,1,0,0,0,0,0,43.748
1,0,0,0,1,0,0,0,0,81.186
0,1,1,0,0,0,0,0,0,20.16
0,1,0,1,0,0,0,0,0,44.553
1,0,0,0,0,0,1,0,0,42.677
0,1,0,1,0,0,0,0,0,62.871
1,0,0,1,0,0,0,0,0,87.879
1,0,0,0,1,0,0,0,0,67.779
0,1,1,0,0,0,0,0,0,70.238
0,1,0,0,0,0,0,1,0,67.195
0,1,0,1,0,0,0,0,0,74.744
1,0,0,0,0,0,0,0,1,58.291
0,1,0,0,1,0,0,0,0,63.749
1,0,0,0,1,0,0,0,0,63.391
1,0,1,0,0,0,0,0,0,67.289
1,0,1,0,0,0,0,0,0,62.298
0,1,0,1,0,0,0,0,0,47.793
1,0,0,1,0,0,0,0,0,58.719
0,1,0,0,1,0,0,0,0,49.61
0,1,0,1,0,0,0,0,0,37.698
0,1,0,1,0,0,0,0,0,65.01
0,1,1,0,0,0,0,0,0,67.71
0,1,0,0,1,0,0,0,0,32.057
0,1,0,1,0,0,0,0,0,67.969
1,0,0,1,0,0,0,0,0,46.564
0,1,1,0,0,0,0,0,0,82.604
0,1,0,1,0,0,0,0,0,18.631
1,0,0,1,0,0,0,0,0,39.603
1,0,0,1,0,0,0,0,0,41.038
1,0,1,0,0,0,0,0,0,53.335
1,0,0,1,0,0,0,0,0,62.188
1,0,1,0,0,0,0,0,0,22.738
0,1,0,1,0,0,0,0,0,8.348
1,0,0,0,0,0,1,0,0,32.292
1,0,0,0,0,0,1,0,0,51.491
0,1,0,0,1,0,0,0,0,70.998
1,0,0,0,0,0,0,0,1,58.703
1,0,0,0,1,0,0,0,0,82.07
0,1,1,0,0,0,0,0,0,35.187
1,0,0,0,0,0,1,0,0,56.481
1,0,0,1,0,0,0,0,0,40.779
0,1,0,1,0,0,0,0,0,41.167
1,0,1,0,0,0,0,0,0,54.923
0,1,1,0,0,0,0,0,0,64.683
1,0,0,0,0,0,0,0,1,82.216
0,1,0,1,0,0,0,0,0,30.097
1,0,0,1,0,0,0,0,0,42.843
1,0,0,1,0,0,0,0,0,52.954
1,0,1,0,0,0,0,0,0,71.29
1,0,0,1,0,0,0,0,0,27.268
0,1,1,0,0,0,0,0,0,47.342
0,1,0,0,1,0,0,0,0,56.327
1,0,0,1,0,0,0,0,0,45.438
0,1,0,1,0,0,0,0,0,51.545
0,1,0,1,0,0,0,0,0,45.655
1,0,0,1,0,0,0,0,0,62.224
1,0,1,0,0,0,0,0,0,27.918
1,0,1,0,0,0,0,0,0,32.982
1,0,0,1,0,0,0,0,0,33.384
0,1,0,1,0,0,0,0,0,52.906
1,0,0,0,0,1,0,0,0,60.991
0,1,0,1,0,0,0,0,0,51.542
1,0,0,1,0,0,0,0,0,45.185
0,1,1,0,0,0,0,0,0,55.118
1,0,0,1,0,0,0,0,0,38.099
1,0,1,0,0,0,0,0,0,89.422
1,0,0,0,0,0,0,1,0,24.429
1,0,0,1,0,0,0,0,0,61.739
0,1,0,1,0,0,0,0,0,48.796
1,0,0,1,0,0,0,0,0,55.018
0,1,0,1,0,0,0,0,0,47.653
0,1,0,1,0,0,0,0,0,21.846
1,0,0,0,1,0,0,0,0,29.948
0,1,0,1,0,0,0,0,0,19.019
1,0,0,1,0,0,0,0,0,39.952
1,0,1,0,0,0,0,0,0,52.253
1,0,0,1,0,0,0,0,0,47.283
1,0,0,1,0,0,0,0,0,47.266
1,0,0,0,1,0,0,0,0,43.081
1,0,0,1,0,0,0,0,0,66.834
0,1,0,0,0,0,0,0,1,24.891
1,0,0,1,0,0,0,0,0,44.191
1,0,0,0,0,0,1,0,0,28.714
0,1,0,0,1,0,0,0,0,38.913
1,0,0,1,0,0,0,0,0,40.344
0,1,1,0,0,0,0,0,0,34.355
0,1,0,1,0,0,0,0,0,45.588
0,1,1,0,0,0,0,0,0,48.895
0,1,0,1,0,0,0,0,0,48.565
0,1,0,1,0,0,0,0,0,12.608
1,0,0,0,1,0,0,0,0,82.079
1,0,1,0,0,0,0,0,0,53.169
0,1,0,0,1,0,0,0,0,48.094
0,1,0,0,1,0,0,0,0,15.596
1,0,0,1,0,0,0,0,0,77.936
1,0,1,0,0,0,0,0,0,56.35
1,0,0,0,0,0,0,0,1,32.938
1,0,0,0,1,0,0,0,0,53.183
0,1,1,0,0,0,0,0,0,81.976
0,1,0,1,0,0,0,0,0,43.048
1,0,1,0,0,0,0,0,0,41.312
1,0,1,0,0,0,0,0,0,47.051
0,1,1,0,0,0,0,0,0,53.662
1,0,1,0,0,0,0,0,0,64.66
1,0,1,0,0,0,0,0,0,21.733
0,1,1,0,0,0,0,0,0,57.138
0,1,1,0,0,0,0,0,0,59.666
1,0,0,1,0,0,0,0,0,21.433
0,1,0,0,1,0,0,0,0,47.608
1,0,0,0,0,0,0,0,1,75.23
0,1,1,0,0,0,0,0,0,35.604
1,0,1,0,0,0,0,0,0,53.918
1,0,0,1,0,0,0,0,0,49.537
1,0,1,0,0,0,0,0,0,64.741
0,1,0,0,1,0,0,0,0,67.205
1,0,1,0,0,0,0,0,0,61.458
1,0,1,0,0,0,0,0,0,38.656
1,0,0,1,0,0,0,0,0,41.741
0,1,1,0,0,0,0,0,0,21.173
0,1,0,0,1,0,0,0,0,57.331
0,1,0,0,1,0,0,0,0,55.657
0,1,1,0,0,0,0,0,0,39.851
0,1,0,0,0,0,0,0,1,43.463
0,1,0,1,0,0,0,0,0,23.861
0,1,0,0,0,0,1,0,0,94.182
0,1,1,0,0,0,0,0,0,63.338
1,0,1,0,0,0,0,0,0,78.554
0,1,0,0,0,0,0,0,1,56.856
1,0,1,0,0,0,0,0,0,82.374
1,0,1,0,0,0,0,0,0,29.262
1,0,1,0,0,0,0,0,0,69.468
1,0,0,0,0,1,0,0,0,64.887
0,1,1,0,0,0,0,0,0,63.737
0,1,0,0,0,0,1,0,0,48.414
0,1,0,1,0,0,0,0,0,17.949
0,1,0,1,0,0,0,0,0,63.057
0,1,1,0,0,0,0,0,0,68.728
0,1,0,0,1,0,0,0,0,56.834
1,0,0,1,0,0,0,0,0,96.735
1,0,0,1,0,0,0,0,0,73.098
0,1,1,0,0,0,0,0,0,81.705
1,0,0,0,1,0,0,0,0,34.048
0,1,0,0,1,0,0,0,0,66.101
1,0,0,1,0,0,0,0,0,48.02
0,1,0,0,0,0,0,0,1,31.548
0,1,1,0,0,0,0,0,0,64.605
1,0,0,1,0,0,0,0,0,12.4
1,0,1,0,0,0,0,0,0,59.306
1,0,1,0,0,0,0,0,0,36.3
0,1,0,1,0,0,0,0,0,36.45
0,1,0,0,0,0,0,0,1,44.484
0,1,1,0,0,0,0,0,0,25.787
1,0,1,0,0,0,0,0,0,69.996
1,0,1,0,0,0,0,0,0,81.16
0,1,0,1,0,0,0,0,0,45.912
0,1,1,0,0,0,0,0,0,42.686
0,1,0,1,0,0,0,0,0,13.113
0,1,0,1,0,0,0,0,0,40.667
0,1,0,1,0,0,0,0,0,8.402
1,0,1,0,0,0,0,0,0,61.538
1,0,1,0,0,0,0,0,0,68.076
0,1,0,0,1,0,0,0,0,60.29
1,0,1,0,0,0,0,0,0,55.83
0,1,0,1,0,0,0,0,0,61.584
0,1,0,1,0,0,0,0,0,70.007
1,0,1,0,0,0,0,0,0,60.553
0,1,0,0,1,0,0,0,0,37.115
1,0,1,0,0,0,0,0,0,76.093
1,0,0,1,0,0,0,0,0,52.691
1,0,0,0,0,0,0,0,1,32.477
1,0,1,0,0,0,0,0,0,71.381
1,0,0,0,0,0,0,0,1,79.948
1,0,0,1,0,0,0,0,0,42.774
0,1,0,1,0,0,0,0,0,24.743
0,1,0,1,0,0,0,0,0,41.261
1,0,0,1,0,0,0,0,0,48.992
0,1,0,1,0,0,0,0,0,53.394
1,0,0,0,1,0,0,0,0,42.973
0,1,0,0,1,0,0,0,0,86.612
0,1,1,0,0,0,0,0,0,82.294
0,1,0,0,0,0,0,0,1,21.069
1,0,0,1,0,0,0,0,0,49.142
1,0,1,0,0,0,0,0,0,88.533
0,1,1,0,0,0,0,0,0,34.072
1,0,1,0,0,0,0,0,0,68.008
1,0,0,1,0,0,0,0,0,38.81
0,1,0,1,0,0,0,0,0,28.375
1,0,0,1,0,0,0,0,0,71.357
1,0,1,0,0,0,0,0,0,67.21
0,1,0,0,1,0,0,0,0,7.597
1,0,0,1,0,0,0,0,0,32.704
0,1,0,0,1,0,0,0,0,41.828
0,1,0,1,0,0,0,0,0,47.648
1,0,1,0,0,0,0,0,0,44.655
1,0,1,0,0,0,0,0,0,51.746
1,0,0,1,0,0,0,0,0,62.317
0,1,1,0,0,0,0,0,0,26.278
0,1,1,0,0,0,0,0,0,56.126
1,0,0,1,0,0,0,0,0,48.989
0,1,0,1,0,0,0,0,0,52.506
0,1,1,0,0,0,0,0,0,41.76
1,0,0,0,1,0,0,0,0,43.398
1,0,1,0,0,0,0,0,0,64.945
0,1,0,0,0,0,1,0,0,32.11
1,0,0,1,0,0,0,0,0,87.188
0,1,0,1,0,0,0,0,0,66.822
1,0,0,1,0,0,0,0,0,63.02
1,0,0,1,0,0,0,0,0,40.607
1,0,0,1,0,0,0,0,0,30.078
0,1,0,0,0,1,0,0,0,53.918
0,1,1,0,0,0,0,0,0,64.973
1,0,0,0,0,0,1,0,0,74.997
1,0,1,0,0,0,0,0,0,84.998
1,0,0,0,1,0,0,0,0,67.55
1,0,0,1,0,0,0,0,0,61.719
1,0,0,0,0,0,0,0,1,65.687
0,1,0,0,0,0,0,1,0,43.934
0,1,1,0,0,0,0,0,0,44.249
0,1,0,1,0,0,0,0,0,63.0
1,0,0,1,0,0,0,0,0,31.827
0,1,0,1,0,0,0,0,0,45.534
1,0,0,0,0,0,0,0,1,60.029
1,0,0,0,0,0,0,0,1,81.541
1,0,1,0,0,0,0,0,0,30.6
1,0,0,0,0,0,0,0,1,72.439
0,1,0,0,1,0,0,0,0,67.74
1,0,1,0,0,0,0,0,0,57.224
1,0,1,0,0,0,0,0,0,69.4
1,0,0,1,0,0,0,0,0,48.563
0,1,1,0,0,0,0,0,0,59.748
1,0,0,0,1,0,0,0,0,59.866
1,0,0,1,0,0,0,0,0,74.912
0,1,0,1,0,0,0,0,0,42.584
0,1,1,0,0,0,0,0,0,35.879
0,1,0,1,0,0,0,0,0,32.763
1,0,1,0,0,0,0,0,0,43.675
1,0,0,1,0,0,0,0,0,79.548
1,0,0,0,1,0,0,0,0,58.565
0,1,1,0,0,0,0,0,0,37.343
1,0,1,0,0,0,0,0,0,53.351
1,0,0,0,1,0,0,0,0,63.627
0,1,0,1,0,0,0,0,0,40.077
0,1,1,0,0,0,0,0,0,53.352
1,0,1,0,0,0,0,0,0,92.117
1,0,1,0,0,0,0,0,0,70.572
0,1,0,0,1,0,0,0,0,51.151
1,0,1,0,0,0,0,0,0,56.239
0,1,0,0,1,0,0,0,0,64.1
0,1,0,1,0,0,0,0,0,44.925
